Date	I data	H data	Rt data
2020-02-21	2.160000e+02	1.230000e+02	2.946686
2020-02-22	3.480000e+02	1.080000e+02	2.828715
2020-02-23	4.620000e+02	1.510000e+02	2.876593
2020-02-24	5.160000e+02	1.910000e+02	2.908030
2020-02-25	1.152000e+03	2.670000e+02	2.959534
2020-02-26	1.656000e+03	2.710000e+02	2.823353
2020-02-27	1.722000e+03	3.150000e+02	2.566259
2020-02-28	2.124000e+03	3.790000e+02	2.566079
2020-02-29	2.238000e+03	3.740000e+02	2.410602
2020-03-01	2.460000e+03	4.400000e+02	2.695838
2020-03-02	3.780000e+03	6.690000e+02	2.603310
2020-03-03	4.812000e+03	8.150000e+02	2.490122
2020-03-04	6.456000e+03	9.140000e+02	2.317516
2020-03-05	7.812000e+03	1.096000e+03	2.254219
2020-03-06	9.186000e+03	1.225000e+03	2.168481
2020-03-07	8.844000e+03	1.203000e+03	2.121570
2020-03-08	8.700000e+03	1.158000e+03	1.973673
2020-03-09	1.343400e+04	1.458000e+03	1.959575
2020-03-10	1.470600e+04	1.583000e+03	2.044610
2020-03-11	1.666200e+04	1.758000e+03	1.960700
2020-03-12	1.887000e+04	1.907000e+03	1.868405
2020-03-13	2.460600e+04	2.337000e+03	1.798389
2020-03-14	2.119800e+04	1.995000e+03	1.686382
2020-03-15	1.708800e+04	1.909000e+03	1.625405
2020-03-16	2.889600e+04	2.493000e+03	1.523271
2020-03-17	3.207600e+04	2.667000e+03	1.346439
2020-03-18	3.414000e+04	2.709000e+03	1.284063
2020-03-19	3.411000e+04	2.786000e+03	1.201006
2020-03-20	3.755400e+04	2.860000e+03	1.179115
2020-03-21	2.952600e+04	2.548000e+03	1.113767
2020-03-22	2.355000e+04	2.196000e+03	1.021444
2020-03-23	3.660000e+04	2.718000e+03	0.975166
2020-03-24	3.549000e+04	2.624000e+03	0.934978
2020-03-25	3.483000e+04	2.322000e+03	0.903017
2020-03-26	3.421200e+04	2.130000e+03	0.876033
2020-03-27	3.474000e+04	2.246000e+03	0.801597
2020-03-28	2.717400e+04	1.753000e+03	0.794088
2020-03-29	1.806600e+04	1.441000e+03	0.766877
2020-03-30	3.051600e+04	1.689000e+03	0.761898
2020-03-31	3.216600e+04	1.598000e+03	0.752356
2020-04-01	3.015000e+04	1.521000e+03	0.785662
2020-04-02	2.866800e+04	1.470000e+03	0.787582
2020-04-03	2.667000e+04	1.279000e+03	0.781422
2020-04-04	2.199600e+04	1.035000e+03	0.773631
2020-04-05	1.560000e+04	8.460000e+02	0.783814
2020-04-06	2.454600e+04	1.040000e+03	0.755866
2020-04-07	2.485200e+04	1.045000e+03	0.767022
2020-04-08	2.876400e+04	1.059000e+03	0.712788
2020-04-09	2.812200e+04	1.017000e+03	0.713519
2020-04-10	3.078600e+04	9.450000e+02	0.741176
2020-04-11	2.058600e+04	8.290000e+02	0.736198
2020-04-12	1.150800e+04	6.710000e+02	0.749658
2020-04-13	1.362000e+04	6.280000e+02	0.740564
2020-04-14	1.967400e+04	8.770000e+02	0.754333
2020-04-15	2.368200e+04	7.260000e+02	0.781210
2020-04-16	2.222400e+04	7.290000e+02	0.792217
2020-04-17	2.098800e+04	7.390000e+02	0.759378
2020-04-18	1.584000e+04	5.800000e+02	0.776856
2020-04-19	8.310000e+03	4.760000e+02	0.762883
2020-04-20	1.804200e+04	6.740000e+02	0.817428
2020-04-21	1.848600e+04	6.240000e+02	0.796150
2020-04-22	1.561800e+04	6.230000e+02	0.759188
2020-04-23	1.686000e+04	6.040000e+02	0.745457
2020-04-24	1.644000e+04	5.680000e+02	0.723521
2020-04-25	9.996000e+03	4.330000e+02	0.712400
2020-04-26	6.102000e+03	3.650000e+02	0.710017
2020-04-27	1.188600e+04	4.580000e+02	0.665083
2020-04-28	1.344000e+04	4.540000e+02	0.657463
2020-04-29	1.396800e+04	4.220000e+02	0.641549
2020-04-30	1.360200e+04	3.810000e+02	0.627802
2020-05-01	6.504000e+03	2.880000e+02	0.626722
2020-05-02	6.132000e+03	2.500000e+02	0.618091
2020-05-03	3.036000e+03	1.890000e+02	0.617009
2020-05-04	8.730000e+03	3.120000e+02	0.581219
2020-05-05	9.222000e+03	2.980000e+02	0.586931
2020-05-06	8.646000e+03	3.020000e+02	0.584068
2020-05-07	8.334000e+03	2.990000e+02	0.584767
2020-05-08	8.280000e+03	3.000000e+02	0.595412
2020-05-09	4.386000e+03	1.850000e+02	0.594277
2020-05-10	2.016000e+03	1.750000e+02	0.621416
2020-05-11	5.238000e+03	2.650000e+02	0.630666
2020-05-12	5.490000e+03	1.950000e+02	0.633086
2020-05-13	5.340000e+03	2.120000e+02	0.643716
2020-05-14	5.400000e+03	2.140000e+02	0.647439
2020-05-15	4.746000e+03	2.230000e+02	0.642896
2020-05-16	3.636000e+03	1.410000e+02	0.670458
2020-05-17	1.788000e+03	1.290000e+02	0.667726
2020-05-18	3.930000e+03	1.800000e+02	0.677082
2020-05-19	4.320000e+03	1.640000e+02	0.664825
2020-05-20	4.056000e+03	1.500000e+02	0.675444
